Ce,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Target
21.2,3.21,7.31,1.35,33.3,13,135,42.8,164,33.7,310,48.5,0
4.59,2.91,5.81,0.56,32,11.3,137.4,56.6,232.3,55.9,465.3,88.2,0
104.9570915,3.576759784,10.43830827,3.137049949,72.17445694,27.50321672,330.057871,118.4976775,527.475775,132.1497894,1406.542699,230.9425443,1
5.08,3.38,6.76,0.33,41.5,15,186,63.1,272,51.6,489,71.9,0
25.06,2.07,5.54,0.38,36.29,14.44,189.2,74.6,334.05,71.76,657.84,114.93,1
9,0.66,1.4,0.69,7.93,2.71,39.1,17.2,90.32326725,22.11673566,309,69,1
12,2.53,1.35,0.59,8,2.83,30.9,11.9,52.8,12.4,154,23.1,1
3.58,1.14,2.71,0.252,19.75,7.77,103.27,43.93,211.01,45.76,454.27,90.28,1
29,6.62,10.9,3.77,47.7,14.1,138,44.9,179,34.9,322,64.1,0
26.06,6.78,10.27,1.75,42.05,14.66,175.93,65.09,294.14,71.31,780.31,174.881,1
16.3,0.97,2.9,0.33,21.2,8.9,132,55,290,65,693,143,0
63.78134363,2.656765741,3.760967359,1.002855223,19.01252026,6.841244848,89.20739238,40.71705072,232.7948132,62.81124111,727.4298264,182.173349,1
191.5,12.9,25.7,4.5,95.9,29.5,337.4,122.7,521.2,106.4,948.1,179.2,0
1.89,1.89,6.2,0.23,44,15.6,221,84,423,88,961,165,0
1.94306341,0.563349552,3.247683896,0.427485304,35.23362482,18.08192533,240.0236836,83.67001295,410.4514897,86.12313437,791.6941713,131.5271842,0
6.11,1.27,2.4,1.03,11.3,3.84,40,14.6,66.5,14.2,144,31.8,0
24.39163013,4.579971647,6.60384717,1.121743929,29.51969114,8.770316045,98.45962385,33.71374748,146.742199,28.38005868,286.5955717,49.64403933,0
1.72,2,4.55,0.476,21.3,7.12,90,32.9,156.3,32.2,288,59.2,0
11.25,0.78,2.39,0.66,10.09,3.46,40.24,14.95,65.24,14.34,138.89,28.44,1
8.16,0.59,1.04,0.35,5.28,1.95,25.63,11.13,58.74,14.12,151,37.38,1
19.9,15.4,23.7,1.3,93,25.3,333.3,93.4,419.4,78,714,80.5,0
11.49762924,1.520712374,4.715952927,0.072692361,36.39374708,14.02876146,185.735642,71.73505731,331.44802,68.5429661,594.5258427,108.3269835,0
38.16,2.32,5.13,1.7,31,10.67,149.1,61,312.6,73.6,702.7,145.8,1
65.43857164,1.825776664,5.165667236,1.105104739,24.63698158,8.594759606,123.6229917,49.89494984,266.0351216,60.02338223,688.2889906,126.1605003,1
2.630957809,1.755051204,7.725197235,0.711681118,78.6795285,35.43471084,478.2227257,173.6349676,875.6994417,179.0618662,1920.728002,304.9998134,0
127.7,5.44,16.2,2.18,81.13,25.04,269.4,91.64,389.1,77.95,736.6,141.4,1
119.1,4.98,18.16,2.35,86.23,25.83,273.2,95.98,397.2,80.16,754.7,142.5,1
13.52,1.53,2.63,0.703,13.85,5.11,66.69,26.21,120.11,30.05,329.58,70.49466667,1
51.00334266,5.590884297,9.809329071,1.163938993,58.60859398,20.63812663,248.4965963,93.51134349,404.4471127,81.75516459,734.0817295,139.9695106,1
3.08,1.91,6.08,0.7,29.2,9.56,115.2,38.59,166.5,35.31,331,57.99,0
48.21,1.38,2.81,1.1,16.05,5.21,59.6,22.19,102.59,25.2,287.42,61.52,1
13,2.63,1.81,0.33,10.4,3.29,44.1,14.7,73,16.2,197,30,1
1.33,2.01,5.46,0.18,34.1,12.4,153,59.9,257,55.8,513,88.7,0
1.208,1.22,3.81,0.157,31.3,13.86,208.4,84.28,422.6,95.93,868,157.7,0
0.431,1.11,6.77,0.083,43.4,16.91,172.9,49.4,189.4,32.8,255,41.6,0
1.15,1.24,4.01,0.05,33.9,14,192,77.4,352,76.4,697,119,0
17.55226329,2.986527658,6.146446046,0.60988137,37.78359353,13.91126404,181.0632558,66.29923078,312.2284208,61.47040086,569.3940617,91.49655244,0
1.221,1.88,5.17,0.129,36.4,15.65,196.24,70,284.85,55.7,473.71,71.65,0
18,0.78,2.39,0.54,13.7,5.07,62.2,25.5,124.1,29.6,293,65.3,1
1.38,2.15,5.46,0.14,42.8,16.5,212,84.3,377,81.8,740,132,0
27.10251448,7.086372078,12.51577749,2.725966567,56.2974549,16.90109302,196.3065268,60.6364994,240.9598285,48.21737778,441.3682972,67.05220131,0
5.43,5.96,7.19,0.4,47.43599104,14.6195835,161,54.27975075,234.2176297,51.62105188,508,100.5,0
10.28,0.9,2.38,0.12,21.46,8.91,125.54,50.92,236.3,53.34,532.97,89.65,1
19.7,5.44,7.17,0.4,33.7,13.5,172,62.5,295,60.2,626,99.1,0
21.72071218,1.801202092,9.491214066,0.084126622,93.6929163,39.20461691,517.7924044,204.5147927,905.1023477,181.8708331,1572.168603,299.9346876,0
12.27,4.77,11.29,0.98,59,17.39,187.2,59.4,248,46.5,385,72,0
